epoch_time,heading,x,y
1751118851.656324,-0.008825628,0.790522197,-0.003741206
1751118851.664143,-0.008960934,0.799994395,-0.003825447
1751118851.675855,-0.009009948,0.811748240,-0.003930775
1751118851.685908,-0.009048312,0.820948310,-0.004013670
1751118851.700366,-0.009112682,0.832238620,-0.004115831
1751118851.704482,-0.009234704,0.842191264,-0.004207136
1751118851.716409,-0.009338173,0.853414881,-0.004310785
1751118851.723749,-0.009434323,0.863137646,-0.004402048
1751118851.733550,-0.009575947,0.873657889,-0.004502048
1751118851.743805,-0.009749605,0.884585754,-0.004607644
1751118851.754411,-0.009876466,0.896253334,-0.004722143
1751118851.763391,-0.009962560,0.906023753,-0.004818643
1751118851.773398,-0.010111707,0.917018357,-0.004929001
1751118851.783292,-0.010226056,0.927623875,-0.005036851
1751118851.793268,-0.010364893,0.938424559,-0.005148053
1751118851.810024,-0.010522158,0.950658783,-0.005275826
1751118851.813995,-0.010584479,0.960534076,-0.005379739
1751118851.825770,-0.010661064,0.972504777,-0.005506448
1751118851.835619,-0.010843212,0.983492338,-0.005624592
1751118851.844908,-0.011003971,0.993788285,-0.005737065
1751118851.855325,-0.011215577,1.006475946,-0.005878028
1751118851.863599,-0.011352860,1.016470361,-0.005990812
1751118851.873991,-0.011535601,1.028601548,-0.006129650
1751118851.884091,-0.011659139,1.040196579,-0.006264128
1751118851.893326,-0.011755322,1.051131950,-0.006392157
1751118851.903244,-0.011927438,1.062636115,-0.006528388
1751118851.914363,-0.012119010,1.075440708,-0.006682348
1751118851.924084,-0.012212728,1.086536959,-0.006816830
1751118851.934257,-0.012364041,1.098083346,-0.006958724
1751118851.944120,-0.012529853,1.110482929,-0.007113069
1751118851.957133,-0.012632104,1.126302529,-0.007311297
1751118851.967430,-0.012683999,1.134331401,-0.007412723
1751118851.975862,-0.012690024,1.147424352,-0.007578803
1751118851.983748,-0.012725562,1.157917745,-0.007711972
1751118851.995638,-0.012784240,1.170892535,-0.007877092
1751118852.006819,-0.012959031,1.184349234,-0.008050312
1751118852.015425,-0.013110584,1.195820849,-0.008199850
1751118852.024511,-0.013215537,1.207032898,-0.008347444
1751118852.034594,-0.013331250,1.219394307,-0.008511531
1751118852.044502,-0.013391723,1.231609946,-0.008674391
1751118852.054702,-0.013502329,1.243900175,-0.008839668
1751118852.063336,-0.013648986,1.254551439,-0.008984274
1751118852.074464,-0.013830391,1.267726225,-0.009165303
1751118852.084556,-0.013878242,1.280243831,-0.009338438
1751118852.093291,-0.013947998,1.291745947,-0.009498077
1751118852.104441,-0.014027905,1.304993094,-0.009682860
1751118852.117165,-0.014167801,1.317096101,-0.009853498
1751118852.129092,-0.014424164,1.335967517,-0.010123302
1751118852.133662,-0.014473976,1.341590654,-0.010204557
1751118852.143938,-0.014586450,1.354287396,-0.010389056
1751118852.153820,-0.014681692,1.366560232,-0.010568086
1751118852.163939,-0.014765984,1.379028422,-0.010751153
1751118852.173887,-0.014824463,1.391360725,-0.010933265
1751118852.183343,-0.014882360,1.403767398,-0.011117201
1751118852.194076,-0.014892128,1.416491093,-0.011306573
1751118852.203919,-0.014879160,1.429032207,-0.011493351
1751118852.213302,-0.014960029,1.441512564,-0.011679062
1751118852.223428,-0.015126027,1.454082224,-0.011868162
1751118852.234048,-0.015116975,1.467283825,-0.012067865
1751118852.243846,-0.015071564,1.480130262,-0.012262079
1751118852.255080,-0.015104686,1.494508724,-0.012478801
1751118852.264461,-0.015130836,1.505860232,-0.012650275
1751118852.274269,-0.015225902,1.518422149,-0.012840362
1751118852.292899,-0.015369730,1.536439697,-0.013116013
1751118852.295183,-0.015443302,1.545656068,-0.013258016
1751118852.303881,-0.015400921,1.556801416,-0.013430151
1751118852.313704,-0.015319076,1.568845733,-0.013615659
1751118852.323208,-0.015345444,1.581586441,-0.013810850
1751118852.333766,-0.015386675,1.594725291,-0.014012487
1751118852.343778,-0.015427107,1.607676706,-0.014211782
1751118852.353683,-0.015462559,1.620538731,-0.014410222
1751118852.364254,-0.015451043,1.633929666,-0.014617296
1751118852.374117,-0.015440264,1.646463033,-0.014810965
1751118852.383726,-0.015503888,1.659416894,-0.015010992
1751118852.393998,-0.015654791,1.672317589,-0.015211993
1751118852.406263,-0.015691752,1.686259514,-0.015430269
1751118852.418209,-0.015732116,1.701484711,-0.015669198
1751118852.424916,-0.015689028,1.712406180,-0.015841030
1751118852.434114,-0.015770684,1.724098588,-0.016024488
1751118852.445147,-0.015797889,1.737233426,-0.016231651
1751118852.463344,-0.015822547,1.762063116,-0.016623940
1751118852.471179,-0.015844615,1.765355545,-0.016676039
1751118852.475237,-0.015911648,1.777295227,-0.016865234
1751118852.483997,-0.015889117,1.788590551,-0.017044977
1751118852.494073,-0.016013102,1.801503676,-0.017250973
1751118852.505243,-0.016126227,1.815434386,-0.017474854
1751118852.516376,-0.016127198,1.829488581,-0.017701515
1751118852.524222,-0.016153363,1.841203445,-0.017890459
1751118852.538719,-0.016182855,1.854407670,-0.018103770
1751118852.543642,-0.016182023,1.866546655,-0.018300231
1751118852.562289,-0.016180376,1.890575382,-0.018689098
1751118852.564208,-0.016190180,1.893603623,-0.018738101
1751118852.573760,-0.016234590,1.905889019,-0.018937021
1751118852.584152,-0.016298519,1.919263869,-0.019154175
1751118852.594480,-0.016372362,1.932066228,-0.019362853
1751118852.603944,-0.016427445,1.945820713,-0.019588066
1751118852.614140,-0.016479622,1.958849716,-0.019802119
1751118852.625867,-0.016538375,1.972299129,-0.020023780
1751118852.633552,-0.016557181,1.984683838,-0.020228622
1751118852.644644,-0.016578380,1.998644259,-0.020459788
1751118852.653686,-0.016596193,2.011130225,-0.020666804
1751118852.663536,-0.016612564,2.024360821,-0.020886402
1751118852.673371,-0.016698653,2.037306388,-0.021101481
1751118852.684090,-0.016791882,2.051325533,-0.021335603
1751118852.697879,-0.016835498,2.069562078,-0.021641858
1751118852.704128,-0.016886573,2.077730261,-0.021779387
1751118852.713434,-0.016948269,2.090523122,-0.021995435
1751118852.723614,-0.016954279,2.103785113,-0.022220224
1751118852.733760,-0.016960532,2.117581505,-0.022454154
1751118852.745425,-0.016994166,2.130950119,-0.022680915
1751118852.753278,-0.017074727,2.143767456,-0.022898756
1751118852.765338,-0.017172193,2.159274281,-0.023163556
1751118852.774778,-0.017212423,2.172054976,-0.023383050
1751118852.785941,-0.017157182,2.185808020,-0.023619797
1751118852.794923,-0.017161014,2.199218922,-0.023849913
1751118852.803670,-0.017164386,2.211018350,-0.024052423
1751118852.814548,-0.017043279,2.225474191,-0.024299697
1751118852.824694,-0.016951286,2.239107313,-0.024532073
1751118852.837685,-0.016926902,2.252910631,-0.024766079
1751118852.844888,-0.016903676,2.266124261,-0.024989767
1751118852.856746,-0.016791083,2.282276439,-0.025262824
1751118852.868943,-0.016803543,2.298415567,-0.025533843
1751118852.875574,-0.016801782,2.306246549,-0.025665443
1751118852.885521,-0.016798688,2.320002135,-0.025896583
1751118852.894114,-0.016714001,2.332801786,-0.026111621
1751118852.904538,-0.016786435,2.347161193,-0.026351646
1751118852.914598,-0.016854488,2.360652196,-0.026578134
1751118852.924552,-0.016871195,2.374192934,-0.026806377
1751118852.935041,-0.016922229,2.388229889,-0.027043220
1751118852.944341,-0.016948047,2.401122434,-0.027261411
1751118852.956187,-0.017148379,2.416799802,-0.027528708
1751118852.966130,-0.017326391,2.430730506,-0.027768861
1751118852.974933,-0.017345734,2.442609733,-0.027974706
1751118852.986163,-0.017329110,2.456439120,-0.028214611
1751118852.994453,-0.017391892,2.469305278,-0.028437592
1751118853.004820,-0.017452462,2.481718213,-0.028653498
1751118853.014860,-0.017451134,2.496982844,-0.028919931
1751118853.024924,-0.017367566,2.510765782,-0.029160483
1751118853.034590,-0.017287384,2.523990343,-0.029390185
1751118853.045149,-0.017388561,2.538179456,-0.029635502
1751118853.055081,-0.017429393,2.551313111,-0.029863900
1751118853.064674,-0.017520361,2.564871633,-0.030100241
1751118853.074567,-0.017611508,2.578456884,-0.030338284
1751118853.084486,-0.017567503,2.592074085,-0.030578128
1751118853.093463,-0.017626259,2.604423533,-0.030795099
1751118853.105332,-0.017575106,2.620183791,-0.031072922
1751118853.115110,-0.017530821,2.633827753,-0.031312741
1751118853.125441,-0.017423953,2.647381369,-0.031549647
